,mean,std,min,max
accuracy,0.7217959647627167,0.01600216905405065,0.7075873827791986,0.7391304347826086
precision_macro,0.5100332555842529,0.011837850731532365,0.5009865411930396,0.5234308693112487
recall_macro,0.5618812929285066,0.00827236505228723,0.5542067985390169,0.5706438447288136
macro_f1,0.5301423915405237,0.005193670586689128,0.5266864033902553,0.5361149496205874
qwk,0.46024119265881175,0.008767365781678483,0.45011895042826544,0.465450171541401
training_time_s,44.10733143333315,1.3775200598325386,42.61766710000029,45.335109399999965
inference_ms_per_sample,1.4324263711278624,0.21627069644537777,1.2008415174763425,1.6291468883201434
