feature,importance
all_svd_components,0.96052575
warning_word_count,0.01195022
first_person_ratio,0.010687486
absolutist_ratio,0.0042828713
negation_ratio,0.0037143282
sentence_count,0.0032541652
exclamation_ratio,0.0029647006
word_count,0.0026204577
