feature,importance,feature_group
svd_component_043,0.0030354415,svd_component
svd_component_152,0.0030351847,svd_component
svd_component_107,0.0030337463,svd_component
svd_component_271,0.003029169,svd_component
svd_component_211,0.0029945914,svd_component
svd_component_238,0.0029906407,svd_component
svd_component_057,0.0029876423,svd_component
svd_component_256,0.0029872218,svd_component
svd_component_111,0.002985314,svd_component
svd_component_215,0.0029736133,svd_component
svd_component_272,0.0029678382,svd_component
exclamation_ratio,0.0029647006,handcrafted
svd_component_068,0.002963658,svd_component
svd_component_193,0.0029555357,svd_component
svd_component_283,0.0029540653,svd_component
svd_component_243,0.0029499629,svd_component
svd_component_135,0.0029496583,svd_component
svd_component_158,0.0029460618,svd_component
svd_component_046,0.0029437253,svd_component
svd_component_232,0.002938377,svd_component
svd_component_092,0.0029372245,svd_component
svd_component_203,0.0029337793,svd_component
svd_component_236,0.0029129025,svd_component
svd_component_041,0.002911706,svd_component
svd_component_186,0.0029052717,svd_component
svd_component_067,0.0029048182,svd_component
svd_component_274,0.002897341,svd_component
svd_component_074,0.0028924965,svd_component
svd_component_116,0.00289094,svd_component
svd_component_161,0.0028871216,svd_component
svd_component_040,0.0028858855,svd_component
svd_component_273,0.00287856,svd_component
svd_component_120,0.0028770869,svd_component
svd_component_244,0.0028452412,svd_component
svd_component_055,0.0028348519,svd_component
svd_component_093,0.002825414,svd_component
svd_component_103,0.0028157025,svd_component
svd_component_172,0.0027937389,svd_component
svd_component_010,0.0027867723,svd_component
svd_component_159,0.0027342557,svd_component
svd_component_167,0.0027306373,svd_component
svd_component_138,0.002730193,svd_component
svd_component_016,0.0027198377,svd_component
svd_component_085,0.00269127,svd_component
svd_component_012,0.0026785126,svd_component
svd_component_178,0.0026544102,svd_component
svd_component_270,0.0026377877,svd_component
svd_component_108,0.0026370848,svd_component
svd_component_141,0.0026352422,svd_component
svd_component_294,0.0026302303,svd_component
svd_component_254,0.0026288445,svd_component
svd_component_083,0.0026244177,svd_component
word_count,0.0026204577,handcrafted
svd_component_139,0.00261913,svd_component
svd_component_292,0.0026189128,svd_component
svd_component_064,0.00261591,svd_component
svd_component_089,0.0026115268,svd_component
svd_component_080,0.0025916046,svd_component
svd_component_205,0.0025861077,svd_component
svd_component_164,0.0025730918,svd_component
svd_component_222,0.0025505524,svd_component
svd_component_166,0.0025453938,svd_component
svd_component_162,0.0025441453,svd_component
svd_component_194,0.0025385371,svd_component
svd_component_174,0.0025328286,svd_component
svd_component_225,0.002516453,svd_component
svd_component_110,0.002512372,svd_component
svd_component_251,0.0025075006,svd_component
svd_component_039,0.002483272,svd_component
svd_component_146,0.002481919,svd_component
svd_component_212,0.0024559908,svd_component
svd_component_084,0.0024484016,svd_component
svd_component_038,0.002435471,svd_component
svd_component_087,0.0024312532,svd_component
svd_component_278,0.002430198,svd_component
svd_component_048,0.0024243295,svd_component
svd_component_118,0.0024219418,svd_component
svd_component_117,0.0024216962,svd_component
svd_component_231,0.0024022034,svd_component
svd_component_144,0.0023930348,svd_component
svd_component_299,0.0023626904,svd_component
svd_component_281,0.0023520233,svd_component
svd_component_134,0.0023474651,svd_component
svd_component_032,0.002343479,svd_component
svd_component_257,0.0023238428,svd_component
svd_component_035,0.0023196386,svd_component
svd_component_208,0.0023176621,svd_component
svd_component_235,0.002302785,svd_component
svd_component_259,0.0022972215,svd_component
svd_component_050,0.0022965432,svd_component
svd_component_031,0.0022786716,svd_component
svd_component_250,0.0022731416,svd_component
svd_component_051,0.0022653833,svd_component
svd_component_086,0.0022644235,svd_component
svd_component_234,0.0022639784,svd_component
svd_component_180,0.002256545,svd_component
svd_component_126,0.0022519,svd_component
svd_component_296,0.0022495277,svd_component
svd_component_289,0.0022484518,svd_component
svd_component_242,0.0022393195,svd_component
svd_component_279,0.002238999,svd_component
svd_component_204,0.002202845,svd_component
svd_component_044,0.0021841787,svd_component
svd_component_054,0.0021695443,svd_component
svd_component_290,0.0021662835,svd_component
svd_component_009,0.002161012,svd_component
svd_component_030,0.002152408,svd_component
svd_component_181,0.0021358565,svd_component
svd_component_177,0.002135255,svd_component
svd_component_207,0.0021191528,svd_component
svd_component_147,0.002108129,svd_component
svd_component_206,0.0020834121,svd_component
svd_component_267,0.0020687692,svd_component
svd_component_133,0.0020628567,svd_component
svd_component_149,0.0020580213,svd_component
svd_component_191,0.0020503534,svd_component
svd_component_195,0.0020482014,svd_component
svd_component_094,0.0020372728,svd_component
svd_component_066,0.0020285305,svd_component
svd_component_088,0.0019924636,svd_component
svd_component_175,0.0019756518,svd_component
svd_component_037,0.001946157,svd_component
svd_component_112,0.001917063,svd_component
svd_component_100,0.0019031833,svd_component
svd_component_137,0.0018700246,svd_component
svd_component_246,0.0018437668,svd_component
svd_component_028,0.0018043601,svd_component
svd_component_226,0.0017425366,svd_component
svd_component_200,0.0017261691,svd_component
svd_component_187,0.0016958896,svd_component
svd_component_090,0.0016730453,svd_component
svd_component_047,0.0015860269,svd_component
svd_component_053,0.0015680444,svd_component
svd_component_052,0.0015565461,svd_component
svd_component_034,0.0014957996,svd_component
svd_component_198,0.0012766994,svd_component
svd_component_069,0.0012496589,svd_component
